"Start" "End" "AbsGC" "AbsAll" "GC%"
340001 344000 2100 4000 0.525
344001 348000 1970 4000 0.4925
348001 352000 1895 4000 0.47375
352001 356000 1997 4000 0.49925
356001 360000 1986 4000 0.4965
360001 364000 1832 4000 0.458
364001 368000 1971 4000 0.49275
368001 372000 1849 4000 0.46225
372001 376000 1974 4000 0.4935
376001 380000 1829 4000 0.45725
380001 384000 1859 4000 0.46475
384001 388000 2031 4000 0.50775
388001 392000 1742 4000 0.4355
392001 396000 1521 4000 0.38025
396001 400000 1719 4000 0.42975
400001 404000 1775 4000 0.44375
404001 408000 2030 4000 0.5075
408001 412000 1977 4000 0.49425
412001 416000 1938 4000 0.4845
416001 420000 2040 4000 0.51
420001 424000 1942 4000 0.4855
424001 428000 1944 4000 0.486
428001 432000 1842 4000 0.4605
432001 436000 2041 4000 0.51025
436001 440000 1867 4000 0.46675
440001 444000 2054 4000 0.5135
444001 448000 1730 4000 0.4325
448001 452000 1925 4000 0.48125
452001 456000 1868 4000 0.467
456001 460000 1746 4000 0.4365
460001 464000 1955 4000 0.48875
464001 468000 1990 4000 0.4975
468001 472000 2031 4000 0.50775
472001 476000 2153 4000 0.53825
476001 480000 1948 4000 0.487
480001 484000 1945 4000 0.48625
484001 488000 2120 4000 0.53
488001 492000 1916 4000 0.479
492001 496000 2057 4000 0.51425
496001 500000 1768 4000 0.442
500001 504000 1944 4000 0.486
504001 508000 2058 4000 0.5145
508001 512000 1807 4000 0.45175
512001 516000 1899 4000 0.47475
516001 520000 2236 4000 0.559
520001 524000 2107 4000 0.52675
524001 528000 2072 4000 0.518
528001 532000 2166 4000 0.5415
532001 536000 2010 4000 0.5025
536001 540000 1850 4000 0.4625
540001 544000 1733 4000 0.43325
544001 548000 2207 4000 0.55175
548001 552000 2130 4000 0.5325
552001 556000 1890 4000 0.4725
556001 560000 1945 4000 0.48625
560001 564000 1634 4000 0.4085
564001 568000 1751 4000 0.43775
568001 572000 2067 4000 0.51675
572001 576000 1749 4000 0.43725
576001 580000 1713 4000 0.42825
580001 584000 1647 4000 0.41175
584001 588000 1436 4000 0.359
588001 592000 1652 4000 0.413
592001 596000 1730 4000 0.4325
596001 600000 1753 4000 0.43825
600001 604000 1745 4000 0.43625
604001 608000 1646 4000 0.4115
608001 612000 1366 4000 0.3415
612001 616000 1744 4000 0.436
616001 620000 1935 4000 0.48375
620001 624000 1627 4000 0.40675
624001 628000 1634 4000 0.4085
628001 632000 2042 4000 0.5105
632001 636000 1606 4000 0.4015
636001 640000 1844 4000 0.461
640001 644000 1870 4000 0.4675
644001 648000 1854 4000 0.4635
648001 652000 1969 4000 0.49225
652001 656000 1743 4000 0.43575
656001 660000 1664 4000 0.416
660001 664000 1696 4000 0.424
664001 668000 1722 4000 0.4305
668001 672000 1694 4000 0.4235
672001 676000 1931 4000 0.48275
676001 680000 1760 4000 0.44
680001 684000 1935 4000 0.48375
684001 688000 1747 4000 0.43675
688001 692000 1885 4000 0.47125
692001 696000 1902 4000 0.4755
696001 700000 1865 4000 0.46625
700001 704000 1882 4000 0.4705
704001 708000 1621 4000 0.40525
708001 712000 1643 4000 0.41075
712001 716000 1622 4000 0.4055
716001 720000 1754 4000 0.4385
720001 724000 1718 4000 0.4295
724001 728000 1955 4000 0.48875
728001 732000 1600 4000 0.4
732001 736000 1713 4000 0.42825
736001 740000 1670 4000 0.4175
740001 744000 1850 4000 0.4625
744001 748000 1760 4000 0.44
748001 752000 1754 4000 0.4385
752001 756000 1767 4000 0.44175
756001 760000 2058 4000 0.5145
760001 764000 1779 4000 0.44475
764001 768000 1883 4000 0.47075
768001 772000 1793 4000 0.44825
772001 776000 1845 4000 0.46125
776001 780000 1859 4000 0.46475
780001 784000 1821 4000 0.45525
784001 788000 1877 4000 0.46925
788001 792000 1945 4000 0.48625
792001 796000 1811 4000 0.45275
796001 800000 2061 4000 0.51525
800001 804000 1955 4000 0.48875
804001 808000 1837 4000 0.45925
808001 812000 1867 4000 0.46675
812001 816000 1848 4000 0.462
816001 820000 1833 4000 0.45825
820001 824000 1774 4000 0.4435
824001 828000 1728 4000 0.432
828001 832000 1671 4000 0.41775
832001 836000 1620 4000 0.405
836001 840000 1748 4000 0.437
840001 844000 1729 4000 0.43225
844001 848000 1667 4000 0.41675
848001 852000 1850 4000 0.4625
852001 856000 1529 4000 0.38225
856001 860000 1675 4000 0.41875
860001 864000 1654 4000 0.4135
864001 868000 1898 4000 0.4745
868001 872000 1882 4000 0.4705
872001 876000 1782 4000 0.4455
876001 880000 1747 4000 0.43675
880001 884000 1821 4000 0.45525
884001 888000 1651 4000 0.41275
888001 892000 1701 4000 0.42525
892001 896000 1767 4000 0.44175
896001 900000 1787 4000 0.44675
900001 904000 1782 4000 0.4455
904001 908000 2692 4000 0.673
908001 912000 1842 4000 0.4605
912001 916000 1768 4000 0.442
916001 920000 1736 4000 0.434
920001 924000 1529 4000 0.38225
924001 928000 1688 4000 0.422
928001 932000 1573 4000 0.39325
932001 936000 1663 4000 0.41575
936001 940000 1748 4000 0.437
940001 944000 1814 4000 0.4535
944001 948000 1772 4000 0.443
948001 952000 1879 4000 0.46975
952001 956000 1696 4000 0.424
956001 960000 1710 4000 0.4275
960001 964000 1739 4000 0.43475
964001 968000 1806 4000 0.4515
968001 972000 1887 4000 0.47175
972001 976000 1783 4000 0.44575
976001 980000 1846 4000 0.4615
980001 984000 1820 4000 0.455
984001 988000 1840 4000 0.46
988001 992000 1710 4000 0.4275
992001 996000 1549 4000 0.38725
996001 1000000 1676 4000 0.419
1000001 1004000 1870 4000 0.4675
1004001 1008000 1818 4000 0.4545
1008001 1012000 1537 4000 0.38425
1012001 1016000 1793 4000 0.44825
1016001 1020000 1758 4000 0.4395
1020001 1024000 1753 4000 0.43825
1024001 1028000 1811 4000 0.45275
1028001 1032000 1875 4000 0.46875
1032001 1036000 1905 4000 0.47625
1036001 1040000 1767 4000 0.44175
1040001 1044000 1817 4000 0.45425
1044001 1048000 1827 4000 0.45675
1048001 1052000 1743 4000 0.43575
1052001 1056000 1754 4000 0.4385
1056001 1060000 1634 4000 0.4085
1060001 1064000 1796 4000 0.449
1064001 1068000 1801 4000 0.45025
1068001 1072000 1730 4000 0.4325
1072001 1076000 1671 4000 0.41775
1076001 1080000 1697 4000 0.42425
1080001 1084000 1861 4000 0.46525
1084001 1088000 1853 4000 0.46325
1088001 1092000 1894 4000 0.4735
1092001 1096000 1747 4000 0.43675
1096001 1100000 1948 4000 0.487
1100001 1104000 1815 4000 0.45375
1104001 1108000 1713 4000 0.42825
1108001 1112000 1897 4000 0.47425
1112001 1116000 1754 4000 0.4385
1116001 1120000 1804 4000 0.451
1120001 1124000 1895 4000 0.47375
1124001 1128000 1703 4000 0.42575
1128001 1132000 1755 4000 0.43875
1132001 1136000 1758 4000 0.4395
1136001 1140000 1617 4000 0.40425
1140001 1144000 1574 4000 0.3935
1144001 1148000 1666 4000 0.4165
1148001 1152000 1807 4000 0.45175
1152001 1156000 1599 4000 0.39975
1156001 1160000 1820 4000 0.455
1160001 1164000 1743 4000 0.43575
1164001 1168000 1700 4000 0.425
1168001 1172000 1664 4000 0.416
1172001 1176000 1723 4000 0.43075
1176001 1180000 1790 4000 0.4475
1180001 1184000 1734 4000 0.4335
1184001 1188000 1884 4000 0.471
1188001 1192000 1877 4000 0.46925
1192001 1196000 1723 4000 0.43075
1196001 1200000 1722 4000 0.4305
1200001 1204000 1699 4000 0.42475
1204001 1208000 1600 4000 0.4
1208001 1212000 1753 4000 0.43825
1212001 1216000 1673 4000 0.41825
1216001 1220000 1691 4000 0.42275
1220001 1224000 1651 4000 0.41275
1224001 1228000 1813 4000 0.45325
1228001 1232000 1779 4000 0.44475
1232001 1236000 1681 4000 0.42025
1236001 1240000 1912 4000 0.478
1240001 1244000 1866 4000 0.4665
1244001 1248000 1816 4000 0.454
1248001 1252000 1719 4000 0.42975
1252001 1256000 1751 4000 0.43775
1256001 1260000 1718 4000 0.4295
1260001 1264000 1812 4000 0.453
1264001 1268000 1738 4000 0.4345
1268001 1272000 1803 4000 0.45075
1272001 1276000 1756 4000 0.439
1276001 1280000 1705 4000 0.42625
1280001 1284000 1709 4000 0.42725
1284001 1288000 1741 4000 0.43525
1288001 1292000 1722 4000 0.4305
1292001 1296000 1698 4000 0.4245
1296001 1300000 1699 4000 0.42475
1300001 1304000 1798 4000 0.4495
1304001 1308000 1669 4000 0.41725
1308001 1312000 1721 4000 0.43025
1312001 1316000 1868 4000 0.467
1316001 1320000 1803 4000 0.45075
1320001 1324000 1707 4000 0.42675
1324001 1328000 1585 4000 0.39625
1328001 1332000 1751 4000 0.43775
1332001 1336000 1679 4000 0.41975
1336001 1340000 1727 4000 0.43175
1340001 1344000 1676 4000 0.419
1344001 1348000 1704 4000 0.426
1348001 1352000 1771 4000 0.44275
1352001 1356000 1776 4000 0.444
1356001 1360000 1725 4000 0.43125
1360001 1364000 1722 4000 0.4305
1364001 1368000 1778 4000 0.4445
1368001 1372000 1726 4000 0.4315
1372001 1376000 1833 4000 0.45825
1376001 1380000 1622 4000 0.4055
1380001 1384000 1692 4000 0.423
1384001 1388000 1678 4000 0.4195
1388001 1392000 1534 4000 0.3835
1392001 1396000 1602 4000 0.4005
1396001 1400000 1637 4000 0.40925
1400001 1404000 1481 4000 0.37025
1404001 1408000 1636 4000 0.409
1408001 1412000 1548 4000 0.387
1412001 1416000 1435 4000 0.35875
1416001 1420000 1750 4000 0.4375
1420001 1424000 1880 4000 0.47
1424001 1428000 1824 4000 0.456
1428001 1432000 1697 4000 0.42425
1432001 1436000 1576 4000 0.394
1436001 1440000 1770 4000 0.4425
1440001 1444000 1641 4000 0.41025
1444001 1448000 1741 4000 0.43525
1448001 1452000 1881 4000 0.47025
1452001 1456000 1727 4000 0.43175
1456001 1460000 1690 4000 0.4225
1460001 1464000 1647 4000 0.41175
1464001 1468000 1616 4000 0.404
1468001 1472000 1756 4000 0.439
1472001 1476000 1710 4000 0.4275
1476001 1480000 1658 4000 0.4145
1480001 1484000 1694 4000 0.4235
1484001 1488000 1813 4000 0.45325
1488001 1492000 1575 4000 0.39375
1492001 1496000 1550 4000 0.3875
1496001 1500000 1571 4000 0.39275
1500001 1504000 1772 4000 0.443
1504001 1508000 1795 4000 0.44875
1508001 1512000 1778 4000 0.4445
1512001 1516000 1555 4000 0.38875
1516001 1520000 1753 4000 0.43825
1520001 1524000 1650 4000 0.4125
1524001 1528000 1833 4000 0.45825
1528001 1532000 1766 4000 0.4415
1532001 1536000 1693 4000 0.42325
1536001 1540000 1703 4000 0.42575
1540001 1544000 1646 4000 0.4115
1544001 1548000 1533 4000 0.38325
1548001 1552000 1637 4000 0.40925
1552001 1556000 1734 4000 0.4335
1556001 1560000 1568 4000 0.392
1560001 1564000 1602 4000 0.4005
1564001 1568000 1719 4000 0.42975
1568001 1572000 1785 4000 0.44625
1572001 1576000 1844 4000 0.461
1576001 1580000 1767 4000 0.44175
1580001 1584000 1643 4000 0.41075
1584001 1588000 1724 4000 0.431
1588001 1592000 1737 4000 0.43425
1592001 1596000 1666 4000 0.4165
1596001 1600000 1649 4000 0.41225
1600001 1604000 1673 4000 0.41825
1604001 1608000 1711 4000 0.42775
1608001 1612000 1747 4000 0.43675
1612001 1616000 1812 4000 0.453
1616001 1620000 1755 4000 0.43875
1620001 1624000 1692 4000 0.423
1624001 1628000 1866 4000 0.4665
1628001 1632000 1540 4000 0.385
1632001 1636000 1660 4000 0.415
1636001 1640000 1744 4000 0.436
1640001 1644000 1584 4000 0.396
1644001 1648000 1609 4000 0.40225
1648001 1652000 1566 4000 0.3915
1652001 1656000 1831 4000 0.45775
1656001 1660000 1537 4000 0.38425
1660001 1664000 1605 4000 0.40125
1664001 1668000 1822 4000 0.4555
1668001 1672000 1695 4000 0.42375
1672001 1676000 1717 4000 0.42925
1676001 1680000 1547 4000 0.38675
1680001 1684000 1606 4000 0.4015
1684001 1688000 1627 4000 0.40675
1688001 1692000 1795 4000 0.44875
1692001 1696000 1530 4000 0.3825
1696001 1700000 1714 4000 0.4285
1700001 1704000 1618 4000 0.4045
1704001 1708000 1610 4000 0.4025
1708001 1712000 1663 4000 0.41575
1712001 1716000 1507 4000 0.37675
1716001 1720000 1497 4000 0.37425
1720001 1724000 1637 4000 0.40925
1724001 1728000 1768 4000 0.442
1728001 1732000 1702 4000 0.4255
1732001 1736000 1719 4000 0.42975
1736001 1740000 1543 4000 0.38575
1740001 1744000 1631 4000 0.40775
1744001 1748000 1534 4000 0.3835
1748001 1752000 1716 4000 0.429
1752001 1756000 1618 4000 0.4045
1756001 1760000 1538 4000 0.3845
1760001 1764000 1501 4000 0.37525
1764001 1768000 1625 4000 0.40625
1768001 1772000 1626 4000 0.4065
1772001 1776000 1649 4000 0.41225
1776001 1780000 1432 4000 0.358
1780001 1784000 1647 4000 0.41175
1784001 1788000 1888 4000 0.472
1788001 1792000 1747 4000 0.43675
1792001 1796000 1611 4000 0.40275
1796001 1800000 1507 4000 0.37675
1800001 1804000 1704 4000 0.426
1804001 1808000 1672 4000 0.418
1808001 1812000 1712 4000 0.428
1812001 1816000 1745 4000 0.43625
1816001 1820000 1778 4000 0.4445
1820001 1824000 1744 4000 0.436
1824001 1828000 1631 4000 0.40775
1828001 1832000 1686 4000 0.4215
1832001 1836000 1761 4000 0.44025
1836001 1840000 1854 4000 0.4635
1840001 1844000 1668 4000 0.417
1844001 1848000 1747 4000 0.43675
1848001 1852000 1754 4000 0.4385
1852001 1856000 1744 4000 0.436
1856001 1860000 1591 4000 0.39775
1860001 1864000 1756 4000 0.439
1864001 1868000 1601 4000 0.40025
1868001 1872000 1618 4000 0.4045
1872001 1876000 1710 4000 0.4275
1876001 1880000 1791 4000 0.44775
1880001 1884000 1823 4000 0.45575
1884001 1888000 1710 4000 0.4275
1888001 1892000 1723 4000 0.43075
1892001 1896000 1771 4000 0.44275
1896001 1900000 1774 4000 0.4435
1900001 1904000 1856 4000 0.464
1904001 1908000 1624 4000 0.406
1908001 1912000 1558 4000 0.3895
1912001 1916000 1697 4000 0.42425
1916001 1920000 1719 4000 0.42975
1920001 1924000 1752 4000 0.438
1924001 1928000 1788 4000 0.447
1928001 1932000 1764 4000 0.441
1932001 1936000 1741 4000 0.43525
1936001 1940000 1877 4000 0.46925
1940001 1944000 1515 4000 0.37875
1944001 1948000 1566 4000 0.3915
1948001 1952000 1699 4000 0.42475
1952001 1956000 1856 4000 0.464
1956001 1960000 1469 4000 0.36725
1960001 1964000 1564 4000 0.391
1964001 1968000 1765 4000 0.44125
1968001 1972000 1720 4000 0.43
1972001 1976000 1875 4000 0.46875
1976001 1980000 1752 4000 0.438
1980001 1984000 1700 4000 0.425
1984001 1988000 1768 4000 0.442
1988001 1992000 1714 4000 0.4285
1992001 1996000 1757 4000 0.43925
1996001 2000000 1870 4000 0.4675
