"GeneID" "description" "start_position_on_the_genomic_accession" "end_position_on_the_genomic_accession" "Region" "Function"
618423 "growth factor, augmenter of liver regeneration" 1539898 1542223 "LDR" "Protein-Coding"
618415 "synaptogyrin 3" 1544835 1549036 "LDR" "Protein-Coding"
618325 "hemoglobin, theta 1" 222389 227408 "LDR" "Protein-Coding"
618306 "N-methylpurine DNA glycosylase" 145190 152508 "LDR" "Protein-Coding"
618296 "RNA polymerase III subunit K" 115710 118437 "LDR" "Protein-Coding"
618294 "interleukin 9 receptor" 97378 111918 "LDR" "Protein-Coding"
618053 "NHL repeat containing 4" 495734 499070 "LDR" "Protein-Coding"
618031 "RAB40C, member RAS oncogene family" 516050 539810 "LDR" "Protein-Coding"
618020 "MAPK regulated corepressor interacting protein 2" 546336 558052 "LDR" "Protein-Coding"
615464 "transmembrane protein 204" 1197395 1209837 "LDR" "Protein-Coding"
613745 "Rho GDP dissociation inhibitor gamma" 307142 309575 "LDR" "Protein-Coding"
540893 "heparan sulfate-glucosamine 3-sulfotransferase 6" 1485429 1491648 "LDR" "Protein-Coding"
540233 "WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1" 541147 543770 "LDR" "Protein-Coding"
537598 "mitogen-activated protein kinase 8 interacting protein 3" 1305496 1349468 "LDR" "Protein-Coding"
535203 "nth like DNA glycosylase 1" 1589472 1595206 "LDR" "Protein-Coding"
535174 "enoyl-CoA delta isomerase 1" 1765101 1777754 "LDR" "Protein-Coding"
535131 "LUC7 like" 231075 263454 "LDR" "Protein-Coding"
531296 "mesothelin like" 654193 663061 "LDR" "Protein-Coding"
530317 "SRY-box transcription factor 8" 788544 793550 "LDR" "Protein-Coding"
529167 "rhomboid 5 homolog 1" 121329 139772 "LDR" "Protein-Coding"
529002 "TBC1 domain family member 24" 1979510 2006263 "LDR" "Protein-Coding"
526097 "telomere maintenance 2" 1173824 1185499 "LDR" "Protein-Coding"
525521 "RNA pseudouridine synthase domain containing 1" 666142 669366 "LDR" "Protein-Coding"
524646 "C1q and TNF related 8" 866580 868276 "LDR" "Protein-Coding"
524063 "pentraxin 4" 1161366 1165731 "LDR" "Protein-Coding"
522441 "unk like zinc finger" 1083088 1115799 "LDR" "Protein-Coding"
522068 "calpain 15" 468919 485677 "LDR" "Protein-Coding"
521401 "amidohydrolase domain containing 2" 2018207 2024931 "LDR" "Protein-Coding"
521040 "regulator of G protein signaling 11" 297326 306152 "LDR" "Protein-Coding"
520515 "cramped chromatin regulator homolog 1" 1244372 1289189 "LDR" "Protein-Coding"
517007 "chromosome transmission fidelity factor 18" 669617 677704 "LDR" "Protein-Coding"
517006 "G protein subunit gamma 13" 677672 679635 "LDR" "Protein-Coding"
516237 "mesothelin" 650341 653924 "LDR" "Protein-Coding"
515997 "E4F transcription factor 1" 1751303 1761026 "LDR" "Protein-Coding"
515675 "RAB26, member RAS oncogene family" 1679439 1685522 "LDR" "Protein-Coding"
515663 "NME/NM23 nucleoside diphosphate kinase 3" 1349470 1350659 "LDR" "Protein-Coding"
515662 "essential meiotic structure-specific endonuclease subunit 2" 1352279 1358331 "LDR" "Protein-Coding"
515528 "meteorin, glial cell differentiation regulator" 614323 616436 "LDR" "Protein-Coding"
514636 "methyltransferase like 26" 544097 545876 "LDR" "Protein-Coding"
511835 "coiled-coil domain containing 78" 621029 624962 "LDR" "Protein-Coding"
510344 "somatostatin receptor 5" 858288 860104 "LDR" "Protein-Coding"
509273 "fumarylacetoacetate hydrolase domain containing 1" 1392519 1394143 "LDR" "Protein-Coding"
508714 "TSR3 ribosome maturation factor" 1070336 1072788 "LDR" "Protein-Coding"
508216 "mitochondrial ribosomal protein L28" 361870 364486 "LDR" "Protein-Coding"
508215 "post-glycosylphosphatidylinositol attachment to proteins 6" 365776 384039 "LDR" "Protein-Coding"
508048 "phosphatidylinositol glycan anchor biosynthesis class Q" 497149 512238 "LDR" "Protein-Coding"
507528 "WD repeat domain 24" 588614 594065 "LDR" "Protein-Coding"
507493 "family with sequence similarity 234 member A" 276261 296400 "LDR" "Protein-Coding"
505787 "ATP binding cassette subfamily A member 3" 1794636 1836056 "LDR" "Protein-Coding"
505200 "cyclin F" 1947654 1965422 "LDR" "Protein-Coding"
505124 "lipase maturation factor 1" 725402 777060 "LDR" "Protein-Coding"
504565 "STIP1 homology and U-box containing protein 1" 584421 586777 "LDR" "Protein-Coding"
504506 "RNA binding protein with serine rich domain 1" 1778569 1787635 "LDR" "Protein-Coding"
504357 "axin 1" 313099 356133 "LDR" "Protein-Coding"
504356 "protein disulfide isomerase family A member 2" 309730 312277 "LDR" "Protein-Coding"
101904581 "coiled-coil domain containing 154" 1129348 1137409 "LDR" "Protein-Coding"
101902709 "WD repeat domain 90" 558586 573227 "LDR" "Protein-Coding"
101902553 "proline rich 35" 493585 496018 "LDR" "Protein-Coding"
511647 "RAB11 family interacting protein 3" 405324 465303 "LDR" "Protein-Coding"
505086 "zinc finger protein 598, E3 ubiquitin ligase" 1550721 1561664 "LDR" "Protein-Coding"
504986 "polycystin 1, transient receptor potential channel interacting" 1626212 1665628 "LDR" "Protein-Coding"
112444354 "neuropeptide W" 1567057 1571224 "LDR" "Protein-Coding"
100139040 "jumonji domain containing 8" 585670 588473 "LDR" "Protein-Coding"
100138582 "hemoglobin subunit zeta" 198445 199606 "LDR" "Protein-Coding"
789799 "mastin" 1008284 1011995 "LDR" "Protein-Coding"
789324 "NME/NM23 nucleoside diphosphate kinase 4" 383578 386875 "LDR" "Protein-Coding"
768256 "2,4-dienoyl-CoA reductase 2" 388100 396057 "LDR" "Protein-Coding"
516108 "CG2446-like" 582898 584292 "LDR" "Protein-Coding"
104975846 "proline and glutamate rich with coiled coil 1" 1126167 1129243 "LDR" "Protein-Coding"
786948 "tryptase-2-like" 990597 992454 "LDR" "Protein-Coding"
789192 "cyclin-G1" 35707 39689 "LDR" "Protein-Coding"
777692 "uncharacterized LOC777692" 1836756 1853491 "LDR" "Protein-Coding"
617663 "mastin" 1015003 1028789 "LDR" "Protein-Coding"
100294963 "small nuclear ribonucleoprotein polypeptide E pseudogene" 225324 225602 "LDR" "Pseudo-Genes"
787289 "heterogeneous nuclear ribonucleoprotein A1 pseudogene" 1169962 1171024 "LDR" "Pseudo-Genes"
100137913 "sorting nexin-12 pseudogene" 204432 205240 "LDR" "Pseudo-Genes"
